Delta,Irion,Motley,Upton,Brooks (P),Frio (P),Lamar,Reeves,Zavala (P),Callahan,Goliad,Liberty (P),Rusk,Camp,Gray,Lipscomb,San Augustine,Clay,Hamilton,Marion,Shelby,Coleman,Hardin,Matagorda,Somervell,Collingsworth,Harrison,Maverick (P),Stephens,Crane,Hockley,Midland,Terry,Crosby,Hopkins,Mills,Titus,Dallam,Howard,Montague,Travis
Denton,Jack,Nacogdoches,Uvalde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeWitt,Jackson,Navarro,Val Verde (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickens,Jasper,Newton,Van Zandt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickens (P),Jeff Davis,Newton (P),Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimmit,Jefferson,Nolan,Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donley,Jefferson (P),Nueces,Waller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duval,Jim Hogg,Ochiltree,Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastland,Jim Wells,Oldham,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ector,Johnson,Orange,Webb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Jones,Palo Pinto,Wharton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EI Paso,Karnes,Panola,Wheeler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellis,Karnes (P),Parker,Wichita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erath,Kaufman,Parmer,Wilbarger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falls,Kendall,Pecos,Willacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fannin 1(P),Kenedy,Polk,Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fannin 2(P),Kent,Polk (P),Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fayette,Kerr,Potter,Winkler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fisher,Kimble,Presidio,Wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floyd,King,Rains,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foard,Kinney,Randall,Yoakum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Bend,Kleberg,Reagan,Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin,Knox,Real,Zapata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freestone,La Salle,Red River,Zavala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Brown,Gaines,Lamb,Refugio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Burleson,Galveston,Lampasas,Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Burnet 1(P),Garza,Lavaca,Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Caldwell,Gillespie,Lee,Rockwall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Calhoun,Glasscock,Leon,Runnels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Cameron,Gonzales,Limestone,Sabine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Carson,Grayson,Live Oak,San Jacinto,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Cass,Gregg,Llano,San Patricio,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Castro,Grimes,Loving,San Saba,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Chambers,Guadalupe,Lubbock,Schleicher,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Cherokee,Hale,Lynn,Scurry,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Childress,Hall,Madison,Shackelford,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Cochran,Hansford,Martin,Sherman,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Collin,Harris,Maverick 19,Starr,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Colorado,Haskell (P),McCulloch,Sterling,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Comal,Hays,McLennan,Stonewall,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Comanche,Hemphill,McLennan 1(P),Sutton,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Concho,Henderson,McLennan 2(P),Swisher,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Cooke,Hidalgo,McMullen,Tarrant,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Coryell,Hidalgo (P),Medina,Taylor,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Cottle,Hill,Menard,Terrell,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crockett,Hood,Milam,Throckmorton,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Culberson,Houston,Mitchell,Tom Green,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dallas,Hudspeth 22,Montgomery,Trinity
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dawson,Hunt,Moore,Tyler
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deaf Smith,Hutchinson,Morris,Upshur
