filename,accuracy,time_sec,tool
sample_00001,0.0,0.052,OpenCV Rule-based
sample_00002,0.0,0.002,OpenCV Rule-based
sample_00003,0.0,0.004,OpenCV Rule-based
sample_00004,0.0,0.003,OpenCV Rule-based
sample_00005,0.0,0.007,OpenCV Rule-based
sample_00006,0.0,0.002,OpenCV Rule-based
sample_00007,0.0,0.001,OpenCV Rule-based
sample_00008,0.0,0.004,OpenCV Rule-based
sample_00009,0.0,0.001,OpenCV Rule-based
sample_00010,0.0,0.002,OpenCV Rule-based
sample_00011,0.0,0.003,OpenCV Rule-based
sample_00012,0.0,0.001,OpenCV Rule-based
sample_00013,0.0,0.003,OpenCV Rule-based
sample_00014,0.0,0.002,OpenCV Rule-based
sample_00015,0.0,0.003,OpenCV Rule-based
sample_00016,0.0,0.009,OpenCV Rule-based
sample_00017,0.0,0.001,OpenCV Rule-based
sample_00018,0.0,0.003,OpenCV Rule-based
sample_00019,0.0,0.003,OpenCV Rule-based
sample_00020,0.0,0.002,OpenCV Rule-based
sample_00021,0.0,0.002,OpenCV Rule-based
sample_00022,0.0,0.001,OpenCV Rule-based
sample_00023,0.0,0.001,OpenCV Rule-based
sample_00024,0.0,0.003,OpenCV Rule-based
sample_00025,0.0,0.002,OpenCV Rule-based
sample_00026,0.0,0.003,OpenCV Rule-based
sample_00027,0.0,0.002,OpenCV Rule-based
sample_00028,0.0,0.002,OpenCV Rule-based
sample_00029,0.0,0.001,OpenCV Rule-based
sample_00030,0.0,0.007,OpenCV Rule-based
sample_00031,0.0,0.001,OpenCV Rule-based
sample_00032,0.0,0.002,OpenCV Rule-based
sample_00033,0.0,0.002,OpenCV Rule-based
sample_00034,0.0,0.002,OpenCV Rule-based
sample_00035,0.0,0.002,OpenCV Rule-based
sample_00036,0.0,0.001,OpenCV Rule-based
sample_00037,0.0,0.002,OpenCV Rule-based
sample_00038,0.0,0.002,OpenCV Rule-based
sample_00039,0.0,0.002,OpenCV Rule-based
sample_00040,0.0,0.001,OpenCV Rule-based
sample_00041,0.0,0.002,OpenCV Rule-based
sample_00042,0.0,0.001,OpenCV Rule-based
sample_00043,0.0,0.003,OpenCV Rule-based
sample_00044,0.0,0.002,OpenCV Rule-based
sample_00045,0.0,0.007,OpenCV Rule-based
sample_00046,0.0,0.003,OpenCV Rule-based
sample_00047,0.0,0.003,OpenCV Rule-based
sample_00048,0.0,0.008,OpenCV Rule-based
sample_00049,0.0,0.007,OpenCV Rule-based
sample_00050,0.0,0.002,OpenCV Rule-based
sample_00051,0.0,0.002,OpenCV Rule-based
sample_00052,0.0,0.005,OpenCV Rule-based
sample_00053,0.0,0.002,OpenCV Rule-based
sample_00054,0.0,0.002,OpenCV Rule-based
sample_00055,0.0,0.002,OpenCV Rule-based
sample_00056,0.0,0.001,OpenCV Rule-based
sample_00057,0.0,0.003,OpenCV Rule-based
sample_00058,0.0,0.001,OpenCV Rule-based
sample_00059,0.0,0.001,OpenCV Rule-based
sample_00060,0.0,0.004,OpenCV Rule-based
sample_00061,0.0,0.001,OpenCV Rule-based
sample_00062,0.0,0.003,OpenCV Rule-based
sample_00063,0.0,0.002,OpenCV Rule-based
sample_00064,0.0,0.001,OpenCV Rule-based
sample_00065,0.0,0.001,OpenCV Rule-based
sample_00066,0.0,0.011,OpenCV Rule-based
sample_00067,0.0,0.002,OpenCV Rule-based
sample_00068,0.0,0.001,OpenCV Rule-based
sample_00069,0.0,0.001,OpenCV Rule-based
sample_00070,0.0,0.001,OpenCV Rule-based
sample_00071,0.0,0.002,OpenCV Rule-based
sample_00072,0.0,0.003,OpenCV Rule-based
sample_00073,0.0,0.002,OpenCV Rule-based
sample_00074,0.0,0.002,OpenCV Rule-based
sample_00075,0.0,0.001,OpenCV Rule-based
sample_00076,0.0,0.003,OpenCV Rule-based
sample_00077,0.0,0.024,OpenCV Rule-based
sample_00078,0.0,0.002,OpenCV Rule-based
sample_00079,0.0,0.002,OpenCV Rule-based
sample_00080,0.0,0.002,OpenCV Rule-based
sample_00081,0.0,0.003,OpenCV Rule-based
sample_00082,0.0,0.003,OpenCV Rule-based
sample_00083,0.0,0.002,OpenCV Rule-based
sample_00084,0.0,0.002,OpenCV Rule-based
sample_00085,0.0,0.001,OpenCV Rule-based
sample_00086,0.0,0.002,OpenCV Rule-based
sample_00087,0.0,0.001,OpenCV Rule-based
sample_00088,0.0,0.001,OpenCV Rule-based
sample_00089,0.0,0.001,OpenCV Rule-based
sample_00090,0.0,0.001,OpenCV Rule-based
sample_00091,0.0,0.001,OpenCV Rule-based
sample_00092,0.0,0.001,OpenCV Rule-based
sample_00093,0.0,0.001,OpenCV Rule-based
sample_00094,0.0,0.002,OpenCV Rule-based
sample_00095,0.0,0.001,OpenCV Rule-based
sample_00096,0.0,0.001,OpenCV Rule-based
sample_00097,0.0,0.003,OpenCV Rule-based
sample_00098,0.0,0.001,OpenCV Rule-based
sample_00099,0.0,0.001,OpenCV Rule-based
sample_00100,0.0,0.001,OpenCV Rule-based
sample_00101,0.0,0.001,OpenCV Rule-based
sample_00102,0.0,0.002,OpenCV Rule-based
sample_00103,0.0,0.002,OpenCV Rule-based
sample_00104,0.0,0.002,OpenCV Rule-based
sample_00105,0.0,0.001,OpenCV Rule-based
sample_00106,0.0,0.001,OpenCV Rule-based
sample_00107,0.0,0.0,OpenCV Rule-based
sample_00108,0.0,0.001,OpenCV Rule-based
sample_00109,0.0,0.001,OpenCV Rule-based
sample_00110,0.0,0.001,OpenCV Rule-based
sample_00111,0.0,0.001,OpenCV Rule-based
sample_00112,0.0,0.001,OpenCV Rule-based
sample_00113,0.0,0.001,OpenCV Rule-based
sample_00114,0.0,0.001,OpenCV Rule-based
sample_00115,0.0,0.001,OpenCV Rule-based
sample_00116,0.0,0.001,OpenCV Rule-based
sample_00117,0.0,0.001,OpenCV Rule-based
sample_00118,0.0,0.001,OpenCV Rule-based
sample_00119,0.0,0.001,OpenCV Rule-based
sample_00120,0.0,0.002,OpenCV Rule-based
sample_00121,0.0,0.001,OpenCV Rule-based
sample_00122,0.0,0.001,OpenCV Rule-based
sample_00123,0.0,0.001,OpenCV Rule-based
sample_00124,0.0,0.002,OpenCV Rule-based
sample_00125,0.0,0.002,OpenCV Rule-based
sample_00126,0.0,0.002,OpenCV Rule-based
sample_00127,0.0,0.001,OpenCV Rule-based
sample_00128,0.0,0.004,OpenCV Rule-based
sample_00129,0.0,0.002,OpenCV Rule-based
sample_00130,0.0,0.002,OpenCV Rule-based
sample_00131,0.0,0.002,OpenCV Rule-based
sample_00132,0.0,0.001,OpenCV Rule-based
sample_00133,0.0,0.002,OpenCV Rule-based
sample_00134,0.0,0.001,OpenCV Rule-based
sample_00135,0.0,0.001,OpenCV Rule-based
sample_00136,0.0,0.001,OpenCV Rule-based
sample_00137,0.0,0.001,OpenCV Rule-based
sample_00138,0.0,0.001,OpenCV Rule-based
sample_00139,0.0,0.002,OpenCV Rule-based
sample_00140,0.0,0.002,OpenCV Rule-based
sample_00141,0.0,0.001,OpenCV Rule-based
sample_00142,0.0,0.001,OpenCV Rule-based
sample_00143,0.0,0.002,OpenCV Rule-based
sample_00144,0.0,0.002,OpenCV Rule-based
sample_00145,0.0,1.05,OpenCV Rule-based
sample_00146,0.0,0.003,OpenCV Rule-based
sample_00147,0.0,0.001,OpenCV Rule-based
sample_00148,0.0,0.002,OpenCV Rule-based
sample_00149,0.0,0.001,OpenCV Rule-based
sample_00150,0.0,0.002,OpenCV Rule-based
sample_00151,0.0,0.001,OpenCV Rule-based
sample_00152,0.0,0.001,OpenCV Rule-based
sample_00153,0.0,0.002,OpenCV Rule-based
sample_00154,0.0,0.001,OpenCV Rule-based
sample_00155,0.0,0.298,OpenCV Rule-based
sample_00156,2.941176470588235,0.519,OpenCV Rule-based
sample_00157,0.0,0.002,OpenCV Rule-based
sample_00158,0.0,0.002,OpenCV Rule-based
sample_00159,0.0,0.001,OpenCV Rule-based
sample_00160,0.0,0.003,OpenCV Rule-based
sample_00161,0.0,0.002,OpenCV Rule-based
sample_00162,0.0,0.002,OpenCV Rule-based
sample_00163,0.0,0.002,OpenCV Rule-based
sample_00164,0.0,0.002,OpenCV Rule-based
sample_00165,0.0,0.002,OpenCV Rule-based
sample_00166,0.0,0.002,OpenCV Rule-based
sample_00167,0.0,0.001,OpenCV Rule-based
sample_00168,0.0,0.001,OpenCV Rule-based
sample_00169,0.0,0.002,OpenCV Rule-based
sample_00170,0.0,0.001,OpenCV Rule-based
sample_00171,0.0,0.002,OpenCV Rule-based
sample_00172,0.0,0.001,OpenCV Rule-based
sample_00173,0.0,0.002,OpenCV Rule-based
sample_00174,16.0,0.176,OpenCV Rule-based
sample_00175,0.0,0.001,OpenCV Rule-based
sample_00176,0.0,0.002,OpenCV Rule-based
sample_00177,0.0,0.002,OpenCV Rule-based
sample_00178,0.0,0.001,OpenCV Rule-based
sample_00179,17.543859649122805,0.353,OpenCV Rule-based
sample_00180,0.0,0.002,OpenCV Rule-based
sample_00181,0.0,0.002,OpenCV Rule-based
sample_00182,0.0,0.001,OpenCV Rule-based
sample_00183,16.666666666666664,0.19,OpenCV Rule-based
sample_00184,0.0,0.166,OpenCV Rule-based
sample_00185,20.0,0.184,OpenCV Rule-based
sample_00186,0.0,0.001,OpenCV Rule-based
sample_00187,0.0,0.002,OpenCV Rule-based
sample_00188,0.0,0.001,OpenCV Rule-based
sample_00189,0.0,0.252,OpenCV Rule-based
sample_00190,0.0,0.002,OpenCV Rule-based
sample_00191,0.0,0.002,OpenCV Rule-based
sample_00192,0.0,0.002,OpenCV Rule-based
sample_00193,0.0,0.0,OpenCV Rule-based
sample_00194,0.0,0.001,OpenCV Rule-based
sample_00195,0.0,0.001,OpenCV Rule-based
sample_00196,0.0,0.003,OpenCV Rule-based
sample_00197,0.0,0.001,OpenCV Rule-based
sample_00198,0.0,0.002,OpenCV Rule-based
sample_00199,8.333333333333332,0.155,OpenCV Rule-based
sample_00200,18.75,0.168,OpenCV Rule-based
